Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,metric1,metric2
February,Economy,UK,UK,136.51,FLYBE BRITISH EUROPEAN,IPS,136.51,136.51
February,Economy,UK,UK,142.59,BMI,IPS,142.59,142.59
February,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS,11.99,11.99
February,Economy,UK,UK,136.51,FLYBE BRITISH EUROPEAN,IPS,136.51,136.51
February,Business Class,UK,UK,161.69,BRITISH AIRWAYS,IPS,161.69,161.69
February,Economy,UK,UK,101.03,EASYJET,IPS,101.03,101.03
February,Economy,UK,UK,101.5,FLYBE BRITISH EUROPEAN,IPS,101.5,101.5
February,Economy,UK,UK,87.5,FLYBE BRITISH EUROPEAN,IPS,87.5,87.5
February,Economy,UK,UK,290.9,BMI,IPS,290.9,290.9
February,Economy,UK,UK,65.6,FLYBE BRITISH EUROPEAN,IPS,65.6,65.6
February,Business Class,UK,UK,154.5,BRITISH AIRWAYS,IPS,154.5,154.5
February,Economy,UK,UK,123.91,FLYBE BRITISH EUROPEAN,IPS,123.91,123.91
February,Economy,UK,UK,211.59,BMI,IPS,211.59,211.59
February,Economy,UK,UK,48.01,FLYBE BRITISH EUROPEAN,IPS,48.01,48.01
February,Economy,UK,UK,184.34,FLYBE BRITISH EUROPEAN,IPS,184.34,184.34
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,23.98,23.98
February,Economy,UK,UK,234.59,BMI,IPS,234.59,234.59
February,Economy,UK,UK,48.5,FLYBE BRITISH EUROPEAN,IPS,48.5,48.5
February,Economy,UK,UK,126.51,FLYBE BRITISH EUROPEAN,IPS,126.51,126.51
January,Economy,UK,UK,60,BRITISH AIRWAYS,IPS,60,60
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,23.98,23.98
February,Economy,UK,UK,68.03,EASYJET,IPS,68.03,68.03
January,Economy,UK,UK,74.15,FLYBE BRITISH EUROPEAN,ISA,74.15,74.15
January,Economy,UK,UK,121.3,EASTERN AIRWAYS,ISA,121.3,121.3
January,Economy,Non EEA,UK,356.97,VIRGIN ATLANTIC,OSCT,356.97,356.97
January,Economy,UK,UK,104.01,FLYBE BRITISH EUROPEAN,SIG,104.01,104.01
February,Economy,UK,UK,90.5,BRITISH AIRWAYS,OSCT,90.5,90.5
January,Economy,UK,UK,66.69,BRITISH AIRWAYS,Strategy & Reform Directorate,66.69,66.69
January,Economy,UK,UK,104.01,FLYBE BRITISH EUROPEAN,SIG,104.01,104.01
January,Economy,UK,UK,60.85,BRITISH AIRWAYS,Strategic Director Border,60.85,60.85
January,Economy,UK,UK,131.98,BMI BABY,Strategic Director Border,131.98,131.98
January,Economy,UK,UK,195.5,BMI,Strategic Director Border,195.5,195.5
January,Economy,UK,UK,295.59,BMI,Crime & Policing Group,295.59,295.59
February,Economy,UK,UK,35.85,BRITISH AIRWAYS,HROD,35.85,35.85
March,Premium Economy,UK,Non EEA,622.7,BRITISH AIRWAYS,Strategy & Reform Directorate,622.7,622.7
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,82.34,82.34
January,Economy,UK,UK,186.9,FLYBE BRITISH EUROPEAN,Policy & Strategy,186.9,186.9
January,Economy,UK,EEA,298.9,BRITISH AIRWAYS,Policy & Strategy,298.9,298.9
January,Economy,UK,UK,111.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,111.34,111.34
March,Premium Economy,UK,Non EEA,622.67,VIRGIN ATLANTIC,Strategy & Reform Directorate,622.67,622.67
February,Economy,UK,UK,61.93,BRITISH AIRWAYS,OSCT,61.93,61.93
January,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,82.34,82.34
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,HMIC,23.98,23.98
January,Economy,UK,EEA,197.5,BRITISH AIRWAYS,Strategic Director Border,197.5,197.5
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Strategic Director Border,23.98,23.98
January,Economy,UK,UK,88.5,BRITISH AIRWAYS,Policy & Strategy,88.5,88.5
January,Economy,UK,UK,135.5,BMI,Strategic Director Border,135.5,135.5
January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group,111.51,111.51
January,Economy,UK,UK,223.54,FLYBE BRITISH EUROPEAN,Resource Management Group,223.54,223.54
January,Economy,UK,UK,278.5,BRITISH AIRWAYS,Strategy & Reform Directorate,278.5,278.5
February,Economy,UK,UK,65,FLYBE BRITISH EUROPEAN,Science & Research Group,65,65
January,Economy,UK,UK,171.43,BRITISH AIRWAYS,Strategic Director Border,171.43,171.43
January,Economy,EEA,UK,108.48,JET2COM,Immigration Group,108.48,108.48
January,Business Class,UK,UK,219.35,BRITISH AIRWAYS,Immigration Group,219.35,219.35
January,Economy,UK,UK,114.35,BRITISH AIRWAYS,Immigration Group,114.35,114.35
